GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesGiveawaysStatus,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.CategoryCode,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,VSPStatic,39,0,0,0,5,0,2,0,2,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.PurchaseType,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.ClientType,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesVehicleReleaseQueries,13,0,0,0,6,0,6,0,6,0
cas-sales,ph.com.guanzongroup.cas.sales.status,BankApplicationStatus,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesVehicleReleaseStatic.AddOnType,7,0,0,0,2,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.Industry,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,CustomerInquiryFollowUpStatic.InquiryType,7,0,0,0,2,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesVehicleReleaseStatic,39,0,0,0,5,0,2,0,2,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesVehicleReleaseStatic.UnitType,7,0,0,0,2,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,BankApplicationStatus.Reverse,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,CustomerInquiryFollowUpStatic,67,323,17,7,18,26,14,4,3,3
cas-sales,ph.com.guanzongroup.cas.sales.status,VSPStatic.UnitType,7,0,0,0,2,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesVehicleRelease,1138,0,76,0,195,0,49,0,11,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesInquirySources,344,0,20,0,54,0,17,0,7,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesCommitment,4430,0,346,0,818,0,236,0,58,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesReservation.StockSummary,6,21,0,0,2,8,2,3,2,3
cas-sales,ph.com.guanzongroup.cas.sales,SalesBankApplication,2655,0,214,0,488,0,156,0,41,0
cas-sales,ph.com.guanzongroup.cas.sales,CasSalesT1,7,0,0,0,3,0,2,0,2,0
cas-sales,ph.com.guanzongroup.cas.sales,RequirementsSource,590,0,38,0,98,0,29,0,10,0
cas-sales,ph.com.guanzongroup.cas.sales,VSP,1023,0,62,0,168,0,54,0,23,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesAgent,1715,0,139,0,336,0,96,0,23,0
cas-sales,ph.com.guanzongroup.cas.sales,CustomerInquiryFollowUp,1015,2074,91,115,143,355,73,63,2,29
cas-sales,ph.com.guanzongroup.cas.sales,RequirementsSourcePerGroup,912,0,54,0,145,0,43,0,16,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesAgent.SalesAgentConstants,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales,Salesman,1134,86,86,4,180,16,60,4,15,4
cas-sales,ph.com.guanzongroup.cas.sales,SalesGiveaways,1618,845,153,69,287,162,109,48,12,29
cas-sales,ph.com.guanzongroup.cas.sales,SalesReservation,1739,2405,195,134,299,429,150,70,7,43
cas-sales,ph.com.guanzongroup.cas.sales,SalesInquiry,7586,161,614,1,1266,39,421,10,104,10
cas-sales,ph.com.guanzongroup.cas.sales.services,SalesModels,360,333,54,18,108,95,45,11,9,11
cas-sales,ph.com.guanzongroup.cas.sales.services,SalesControllers,428,200,39,9,116,56,31,7,8,6
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_MP,522,0,50,0,108,0,45,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiryValidatorFactory,37,0,7,0,9,0,8,0,2,0
